bundesland,diesel,e5,e10,date
Sachsen-Anhalt,2.3047858076188565,2.187505377424867,2.0226848929540657,2022-03-15 00:00:00
Schleswig-Holstein,2.302790192385309,2.212123839634064,2.039266648728643,2022-03-15 00:00:00
Thüringen,2.3148189344088306,2.2039136064529825,2.0214941625981746,2022-03-15 00:00:00
bundesweit,2.293064977445624,2.2095936430900247,2.0873845915648115,2022-03-15 00:00:00
Baden-Württemberg,2.2620188688701237,2.20026511639562,2.104783722154008,2022-03-16 00:00:00
Bayern,2.264788815401742,2.1910580839499705,2.057452906380285,2022-03-16 00:00:00
Berlin,2.273644162513216,2.212879927503398,2.143335900921311,2022-03-16 00:00:00
Brandenburg,2.2613452979181625,2.170448877038252,2.0676595221002976,2022-03-16 00:00:00
Bremen,2.286015,2.25529,2.167528,2022-03-16 00:00:00
Hamburg,2.249473810845826,2.243101425134185,2.157581158615584,2022-03-16 00:00:00
Hessen,2.2427943584749124,2.1784960862821485,2.0685635032283662,2022-03-16 00:00:00
Mecklenburg-Vorpommern,2.248207666290868,2.095371364148816,1.987196166854566,2022-03-16 00:00:00
Niedersachsen,2.2485491951735925,2.155184612637433,1.9670235453177212,2022-03-16 00:00:00
Nordrhein-Westfalen,2.2452065032122723,2.1677808968139507,2.070825278615445,2022-03-16 00:00:00
Rheinland-Pfalz,2.199025438857483,2.1593661856590303,2.078827729842309,2022-03-16 00:00:00
Saarland,2.198091588267847,2.1746156613171,2.065862202545656,2022-03-16 00:00:00
Sachsen,2.257029949381327,2.178005835208099,2.0678099690663667,2022-03-16 00:00:00
Sachsen-Anhalt,2.240915844967295,2.1410250903055745,1.9787522210289956,2022-03-16 00:00:00
Schleswig-Holstein,2.2613277010783706,2.181735009272615,2.014776564324473,2022-03-16 00:00:00
Thüringen,2.266732089961601,2.179135600658256,1.9929034558420184,2022-03-16 00:00:00
bundesweit,2.250924551234677,2.1754229754408256,2.053837338985017,2022-03-16 00:00:00
Baden-Württemberg,2.2151722882026923,2.1641265693926024,2.070413233797081,2022-03-17 00:00:00
